Timestring,Error_std,Error_mean
2022-04-14_015103,0.029598810814378616,0.051749442604033496
2022-04-14_015752,0.034081583552192644,0.05808723212098969
2022-04-14_020453,0.05317273875078361,0.09173293699276472
2022-04-14_021153,0.00816838468357836,0.000982527581042115
2022-04-14_021853,0.025835014185228697,-0.04068779711173503
2022-04-14_022539,0.069386621787849,0.1214404819343646
2022-04-14_023226,0.02290790265681495,0.03339422493667722
2022-04-14_023938,0.04274423249233204,-0.07183739228322547
2022-04-14_024638,0.009819471472222664,-0.008192505727409347
2022-04-14_025439,0.008496634683360888,-0.0008405254346657043
2022-04-14_030128,0.013567121334391266,0.018303895471103483
2022-04-14_030810,0.03985086633804544,0.06863280732757288
2022-04-14_031510,0.03391789029780729,0.05829559319090841
2022-04-14_032158,0.013152013959001476,0.015652956568345408
2022-04-14_032846,0.02188588431293943,0.035551397971358006
2022-04-14_033535,0.01587251842544442,0.02375120142545757
2022-04-14_034246,0.02953333764692105,0.04794737002967206
2022-04-14_034950,0.23026688322675587,-0.39689656243388516
2022-04-14_035637,0.021049385715571738,-0.0297423208782963
2022-04-14_040334,0.011816386872162922,-0.010260546553751785
2022-04-14_041027,0.007753247942567037,0.000249438748295428
